index,brand,model,mileage,price_range,link
3554.,TOYOTA,HILUX REVO Pickup 4dr DCab E Man 6sp RWD 2.4DCT-201809,"6,097","475,000 - 650,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-e-man-6sp-rwd-2-4dct-201809-manual
3555.,TOYOTA,HILUX REVO Pickup 4dr DCab E Plus Man 6sp 4WD 2.4DCT-201608,"6,431","495,000 - 645,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-e-plus-man-6sp-4wd-2-4dct-201608-manual
3556.,TOYOTA,HILUX REVO Pickup 4dr DCab E Plus Man 6sp 4WD 2.4DCT-201711,"7,417","585,000 - 815,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-e-plus-man-6sp-4wd-2-4dct-201711-manual
3557.,TOYOTA,HILUX REVO Pickup 4dr DCab G Auto 6sp 4WD 2.8DCT-201711,"8,920","695,000 - 1,000,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-g-auto-6sp-4wd-2-8dct-201711-automatic
3558.,TOYOTA,HILUX REVO Pickup 4dr DCab G Man 6sp 4WD 2.8DCT-201711,"8,214","640,000 - 945,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-g-man-6sp-4wd-2-8dct-201711-manual
3559.,TOYOTA,HILUX REVO Pickup 4dr DCab G Rocco Auto 6sp 4WD 2.8DCT-201809,"9,763","770,000 - 1,045,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-g-rocco-auto-6sp-4wd-2-8dct-201809-automatic
3560.,TOYOTA,HILUX REVO Pickup 4dr DCab GR Sport Auto 6sp 4WD 2.8DCT-202108,"11,562","935,000 - 1,200,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-gr-sport-auto-6sp-4wd-2-8dct-202108-automatic
3561.,TOYOTA,HILUX REVO Pickup 4dr DCab GR Sport Auto 6sp 4WD 2.8DCT (Hi-Floor)-202208,"12,490","1,010,000 - 1,030,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-gr-sport-auto-6sp-4wd-2-8dct-hi-floor-202208-automatic
3562.,TOYOTA,HILUX REVO Pickup 4dr DCab GR Sport Auto 6sp RWD 2.8DCT-202108,"7,914","640,000 - 835,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-gr-sport-auto-6sp-rwd-2-8dct-202108-automatic
3563.,TOYOTA,HILUX REVO Pickup 4dr DCab GR Sport Auto 6sp RWD 2.8DCT (Lo-Floor)-202208,"8,409","680,000 - 695,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-gr-sport-auto-6sp-rwd-2-8dct-lo-floor-202208-automatic
3564.,TOYOTA,HILUX REVO Pickup 4dr DCab High Auto 6sp 4WD 2.8DCT-202006,"10,017","810,000 - 1,050,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-high-auto-6sp-4wd-2-8dct-202006-automatic
3565.,TOYOTA,HILUX REVO Pickup 4dr DCab High Auto 6sp 4WD 2.8DCT-202108,"10,202","825,000 - 1,090,000",https://krungsrimarket.cjdataservice.com/usedcar/products/toyota-hilux-revo-pickup-4dr-dcab-high-auto-6sp-4wd-2-8dct-202108-automatic
